alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1758184083.7831,elite,111.06032167535,1742380903.1251,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762848377,1762954706.7783,80,http,http://170.114.45.112:80,false,153.22828292847,80150,1001,98.766497024066,170.114.45.112
true,1761067665.8754,elite,138.98381981693,1761067665.8754,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762882475,1762954706.6393,80,http,http://108.162.193.133:80,false,508.56137275696,13665,0,100,108.162.193.133
true,1759218229.2865,elite,122.10821068713,1756299010.2985,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",true,Moscow,success,Europe/Moscow,,1762953167,1762954706.6307,80,http,http://185.221.160.229:80,false,186.80810928345,44780,77,99.828343402368,185.221.160.229
true,1758183254.7238,elite,110.74922593475,1742419208.0539,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762849071,1762954706.4986,80,http,http://170.114.45.233:80,false,138.22913169861,80422,3428,95.911747167561,170.114.45.233
true,1761555766.8181,elite,139.51505601223,1761068825.5544,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1762883412,1762954706.4702,80,http,http://108.162.194.155:80,false,659.68751907349,13655,1,99.992677211482,108.162.194.155
true,1758180456.0345,elite,110.99270038917,1750624674.8263,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",true,Florida,success,America/New_York,33487,1762848790,1762954706.3613,80,http,http://69.84.182.11:80,false,49.987554550171,82636,87,99.894829732964,69.84.182.11
true,1762954706.3333,transparent,5410.0471242072,1761167636.3796,"AS20771 Caucasus Online Ltd.",CAUCASUS-CABLE-SYSTEM,Marneuli,Asia,AS,Georgia,GE,,false,"Caucasus Online Ltd.",41.4809,44.8072,false,Caucasus,false,"Kvemo Kartli",success,Asia/Tbilisi,,1762378303,1762954706.3333,8080,http,http://85.117.56.115:8080,false,1581.1333656311,1289,11578,10.017875184581,85.117.56.115
true,1759218049.5286,elite,110.66754547486,1750621738.6817,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",true,Hesse,success,Europe/Berlin,60313,1762849090,1762954706.127,80,http,http://102.177.176.119:80,false,79.069375991821,78601,685,99.136039149408,102.177.176.119
true,1758185299.5871,elite,110.73296441521,1742385824.5925,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",true,California,success,America/Los_Angeles,95113,1762848767,1762954706.0271,80,http,http://170.114.45.228:80,false,311.24806404114,80113,996,98.772022833471,170.114.45.228
true,1761067619.6462,elite,138.94340828531,1761067619.6462,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",38.9072,-77.0369,false,"CloudFlare, Inc.",false,"District of Columbia",success,America/New_York,20068,1762882489,1762954705.7852,80,http,http://141.101.113.196:80,false,314.61882591248,13291,0,100,141.101.113.196
true,1761068588.0869,elite,138.82461397761,1761068588.0869,"AS36062 DoubleVerify, Inc.",DOUBLE-VERIFY,Wilmington,"North America",NA,"United States",US,"Mid-town Brandywine",false,"DoubleVerify, Inc.",39.749,-75.5461,false,"DoubleVerify, Inc.",false,Delaware,success,America/New_York,19801,1762883197,1762954705.6873,80,http,http://74.80.226.210:80,false,48.977613449097,13643,0,100,74.80.226.210
true,1758182352.9099,elite,113.4053456282,1753337358.3206,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",true,"New York",success,America/New_York,10013,1762410741,1762954705.6636,80,http,http://216.205.52.72:80,false,62.160491943359,64682,101,99.84409490144,216.205.52.72
true,1762954705.6425,transparent,5209.4568549217,1758734498.3214,"AS38511 PT Remala Abadi",TACHYON-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,false,"PT Remala Abadi",-6.2208,106.8403,false,,true,Jakarta,success,Asia/Jakarta,12850,1762364173,1762954705.6425,1111,http,http://101.255.107.85:1111,false,9249.2573261261,4917,26490,15.655745534435,101.255.107.85
true,1761555555.6686,elite,110.90484320064,1742419861.7907,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0386,82.9425,false,"Zaymer PJSC",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1762848998,1762954705.637,80,http,http://45.67.215.180:80,false,73.172092437744,81291,3496,95.876726384941,45.67.215.180
